rank,secret_word,word,clue,connection_strength
1,color,color,This is the *.,secret_word
2,color,colour,I am the British spelling of this,medium
3,color,clour,I have nothing to do with this,weak
4,color,coloring,I am used in this activity,strong
5,color,colouring,I am the British spelling of this,medium
6,color,colored,I am described as this,medium
7,color,coloration,I am related to this process,strong
8,color,colorman,I have nothing to do with this,weak
9,color,colorize,I can be changed to this,medium
10,color,clouring,I have nothing to do with this,weak
11,color,colorfulness,I am described as this,medium
12,color,colorer,I am involved with this person,strong
13,color,colormen,I have nothing to do with this,weak
14,color,colorful,I am described as this,medium
15,color,multicolor,I contain multiple of this,strong
16,color,colorific,I am related to this quality,strong
17,color,cloured,I have nothing to do with this,weak
18,color,chroma,"Super close, sizzling hot",strong
19,color,coloured,I am the British spelling of this,medium
20,color,noncolor,I have nothing to do with this,weak
21,color,colorizing,I am part of this process,strong
22,color,colorant,I am used as this substance,strong
23,color,coloristic,I am related to this style,strong
24,color,coloristically,I have nothing to do with this,weak
25,color,recolor,I can be changed to this,medium
26,color,colorist,I am involved in this profession,strong
27,color,red,I am a primary version of this,medium
28,color,colorfully,I am described as this,medium
29,color,colourer,I am the British spelling of this,medium
30,color,colorization,I am related to this process,strong
31,color,colure,I have nothing to do with this,weak
32,color,multicolored,I contain multiple of this,strong
33,color,purple,"Super close, sizzling hot",strong
34,color,recolored,I can be changed to this,medium
35,color,miscolor,I am an error in this,strong
36,color,paint,I am used to add this,strong
37,color,tint,I am a lighter version of this,medium
38,color,contrast,I make a difference with this,strong
39,color,colorbred,I am related to this lineage,strong
40,color,hued,I am a different version of this,medium
41,color,varicolored,I contain various of this,strong
42,color,colorized,I have been changed to this,medium
43,color,col,I am a shortened version of this,medium
44,color,uncolored,I have nothing to do with this,weak
45,color,noncolored,I have nothing to do with this,weak
46,color,brightness,I am related to this quality,strong
47,color,pink,I am a light version of this,medium
48,color,dye,"Super close, sizzling hot",strong
49,color,pigment,I am a component of this,strong
50,color,discolor,I may cause a change in this,medium
51,color,chromo,"Super close, sizzling hot",strong
52,color,style,I am not related to this,weak
53,color,decor,I enhance this with my hue,strong
54,color,recoloring,I can change the shade of this,strong
55,color,miscolored,My shade is not like this,strong
56,color,blue,My hue is similar to this,strong
57,color,decolored,I lose my hue like this,strong
58,color,polychrome,I am not as varied as this,strong
59,color,chromaticity,I am defined by this quality,strong
60,color,miscoloring,I can change the hue like this,strong
61,color,decolor,I fade away like this,strong
62,color,chromatic,I am defined by this attribute,strong
63,color,pastel,I am lighter than this,strong
64,color,decoloured,I lose my hue like this,strong
65,color,chromatically,I am related to this attribute,strong
66,color,watercolor,I am used like this for art,strong
67,color,tinctorial,I am not connected to this,weak
68,color,colorlessness,"Super close, sizzling hot",strong
69,color,decolour,I lose my hue like this,strong
70,color,background,I can change the look of this,strong
71,color,texture,I can alter the feel of this,strong
72,color,orange,I am not as vibrant as this,strong
73,color,polychromy,I am not as varied as this,strong
74,color,chrominance,I am defined by this quality,strong
75,color,discoloration,I can cause the change in this,strong
76,color,brown,"Super close, sizzling hot",strong
77,color,unicolor,I am not a single tone like this,strong
78,color,discolored,I am related to the change in this,strong
79,color,tricolor,I am not divided into thirds like this,strong
80,color,colog,I have nothing to do with this,weak
81,color,yellow,I am brighter than this,strong
82,color,polychroming,I am not as varied as this,strong
83,color,multihued,I have multiple shades unlike this,strong
84,color,colorable,I can be changed like this,strong
85,color,chromonematic,I am not defined by this attribute,strong
86,color,gray,I am a mix of shades unlike this,strong
87,color,bicolour,I have two tones unlike this,strong
88,color,magenta,I am not as vivid as this,strong
89,color,green,I am not as eco-friendly as this,strong
90,color,colorblind,"Super close, sizzling hot",strong
91,color,cola,I have nothing to do with this,weak
92,color,vibrance,I add energy and life like this,strong
93,color,design,I can influence the look of this,strong
94,color,pigmentation,I am related to the intensity of this,strong
95,color,polychromatic,"Super close, sizzling hot",strong
96,color,light,I am brighter than this,strong
97,color,violet,I am not as regal as this,strong
98,color,discoloring,I can cause the change in this,strong
99,color,colorless,"Super close, sizzling hot",strong
100,color,chromaticism,I am defined by this attribute,strong
101,color,tinge,I have a hint of this,strong
102,color,dark,I am the absence of light,strong
103,color,visual,I can be perceived by sight,medium
104,color,vibrancy,I bring life and energy to this,medium
105,color,highlight,I make this stand out more,medium
106,color,black,I am the darkest shade possible,strong
107,color,bold,I am daring and strong-willed,medium
108,color,blueish,I have hints of blue in me,medium
109,color,colorpoint,I am not related to this,weak
110,color,grey,"I am a mix of black, white",medium
111,color,styled,I can be used to create,medium
112,color,colorfast,I do not fade easily like this,medium
113,color,colorimetry,I am not involved in this,weak
114,color,dyed,"Super close, sizzling hot",strong
115,color,chromophoric,I am not a component of this,weak
116,color,vivid,I am intense and lively unlike this,medium
117,color,change,I can signal a shift in this,medium
118,color,contrasty,I can enhance the difference in this,medium
119,color,painting,I can be used in artistic creations,medium
120,color,bluegreen,"I am a mix of blue, green",medium
121,color,colorlessly,"Super close, sizzling hot",strong
